Serial_Num,year,name,max_wind_kt,track,saffir
1952295N11282,1952,FOX,125,"{""coordinates"": [[11.4, -77.7], [12.5, -78.5], [13.6, -79.3], [14.7, -80.2], [15.7, -81.1], [16.6, -81.8], [17.0, -82.0], [17.1, -82.0], [17.2, -82.0], [17.3, -82.0], [17.6, -82.0], [17.9, -82.0], [18.3, -82.0], [18.8, -82.0], [19.4, -81.9], [20.0, -81.6], [21.0, -81.3], [22.0, -80.9], [22.8, -80.5], [23.4, -79.9], [23.9, -79.3], [24.4, -78.4], [24.4, -78.3], [24.7, -77.5], [24.8, -76.6], [24.7, -76.2], [24.6, -75.9], [24.5, -75.6], [24.4, -75.2], [24.4, -74.5], [25.3, -74.3], [26.4, -74.2], [27.6, -73.8], [28.8, -72.8], [30.0, -71.7], [31.4, -70.4]], ""type"": ""LineString""}",4
1953240N14340,1953,CAROL,140,"{""coordinates"": [[14.0, -20.5], [13.9, -21.6], [13.8, -22.8], [13.7, -24.0], [13.6, -25.3], [13.5, -26.7], [13.6, -28.2], [13.8, -29.9], [13.9, -31.6], [14.0, -33.3], [14.0, -35.0], [14.0, -36.7], [14.0, -38.4], [14.0, -40.1], [14.0, -41.8], [14.0, -43.4], [14.0, -45.0], [14.0, -46.6], [14.1, -48.2], [14.4, -49.7], [15.0, -51.2], [15.7, -52.7], [16.5, -54.3], [17.3, -55.9], [18.2, -57.3], [19.1, -58.7], [20.0, -60.1], [21.2, -61.3], [22.4, -62.4], [23.6, -63.2], [24.9, -64.0], [26.2, -64.8], [27.5, -65.7], [28.8, -66.5], [29.9, -67.2], [31.0, -67.9], [32.2, -68.6], [33.4, -69.4], [35.0, -70.0], [37.0, -70.5], [38.8, -70.0], [40.6, -68.4], [43.4, -66.8], [44.2, -66.4], [45.3, -65.8], [46.4, -65.2], [49.1, -63.0], [51.8, -60.8], [54.5, -58.4], [57.0, -56.2], [59.5, -54.1], [61.8, -52.0]], ""type"": ""LineString""}",5
1953258N19296,1953,EDNA,100,"{""coordinates"": [[18.9, -64.0], [19.9, -65.3], [20.9, -66.8], [21.9, -68.0], [22.9, -69.1], [23.7, -70.0], [24.6, -70.8], [25.8, -71.1], [27.1, -70.8], [28.2, -70.4], [29.3, -69.1], [30.7, -67.6], [32.3, -65.8], [34.3, -63.4], [36.5, -60.0], [38.9, -56.1], [41.0, -51.8], [42.6, -48.0], [44.3, -42.8], [46.2, -36.9], [48.1, -30.9], [49.7, -25.0], [51.3, -21.3], [52.6, -16.7], [53.8, -13.0], [54.1, -9.2], [54.3, -6.6], [54.6, -4.0]], ""type"": ""LineString""}",3
1953267N15282,1953,FLORENCE,100,"{""coordinates"": [[15.0, -78.0], [16.3, -79.5], [17.6, -81.0], [18.9, -82.5], [20.2, -84.0], [21.3, -85.4], [22.4, -86.4], [23.4, -87.0], [24.6, -87.6], [25.9, -87.5], [27.4, -87.2], [28.9, -86.8], [29.9, -86.4], [30.3, -86.2], [30.7, -86.1], [31.0, -85.6], [31.2, -84.7], [31.6, -83.1], [32.1, -81.3]], ""type"": ""LineString""}",3
1954238N24285,1954,CAROL,100,"{""coordinates"": [[23.8, -75.0], [25.0, -75.5], [26.1, -76.0], [27.0, -76.3], [27.8, -76.4], [28.5, -76.3], [29.0, -76.2], [29.3, -76.3], [29.6, -76.4], [29.8, -76.5], [30.0, -76.7], [30.2, -76.9], [30.3, -77.2], [30.4, -77.4], [30.4, -77.5], [30.3, -77.6], [30.5, -77.7], [30.8, -77.8], [31.1, -77.8], [31.6, -77.7], [32.2, -77.6], [33.0, -77.2], [34.2, -76.1], [36.6, -74.1], [39.5, -72.8], [40.9, -72.2], [41.3, -72.0], [43.1, -71.4], [46.2, -70.9], [48.5, -70.5]], ""type"": ""LineString""}",3
1954248N20295,1954,EDNA,110,"{""coordinates"": [[19.8, -65.3], [20.1, -66.2], [20.5, -67.1], [20.9, -68.0], [21.2, -68.9], [21.4, -69.7], [21.5, -70.4], [21.7, -71.0], [22.0, -71.5], [22.4, -72.1], [22.9, -72.8], [23.6, -73.5], [24.2, -74.3], [24.8, -74.8], [25.5, -75.2], [26.3, -75.4], [26.9, -75.6], [27.6, -76.0], [28.2, -76.4], [28.8, -76.5], [29.6, -76.3], [30.5, -76.1], [31.5, -75.9], [32.7, -75.5], [34.0, -74.8], [36.0, -73.8], [38.1, -72.5], [41.1, -70.7], [41.4, -70.5], [41.7, -70.3], [41.9, -70.1], [43.8, -68.1], [48.7, -64.0], [52.4, -60.5], [54.5, -58.0], [56.3, -56.5], [57.9, -55.5], [59.0, -54.5], [59.5, -53.0], [59.4, -51.0], [59.0, -48.9]], ""type"": ""LineString""}",3
1954278N12302,1954,HAZEL,115,"{""coordinates"": [[12.0, -58.5], [12.0, -59.5], [12.1, -60.5], [12.2, -61.6], [12.3, -62.9], [12.5, -64.3], [12.6, -65.6], [12.7, -66.7], [12.9, -67.7], [13.2, -68.7], [13.5, -69.7], [13.6, -70.6], [13.6, -71.3], [13.6, -71.8], [13.7, -72.0], [13.8, -72.4], [13.9, -73.2], [14.0, -74.0], [14.2, -74.7], [14.4, -75.2], [14.7, -75.5], [15.0, -75.6], [15.3, -75.6], [15.6, -75.5], [15.9, -75.3], [16.4, -75.1], [16.9, -74.9], [17.4, -74.7], [18.0, -74.3], [18.3, -74.2], [18.6, -74.0], [19.1, -73.7], [19.6, -73.4], [20.1, -73.1], [20.8, -73.1], [21.0, -73.1], [21.7, -73.3], [22.7, -73.5], [23.8, -73.8], [25.2, -74.6], [27.0, -75.7], [28.8, -76.8], [30.7, -78.0], [32.7, -78.7], [33.9, -78.6], [36.0, -78.3], [40.2, -77.2], [46.0, -79.3], [48.8, -80.0], [51.5, -79.5], [53.2, -79.5], [54.5, -79.5], [55.5, -79.5], [56.3, -78.8], [57.0, -77.0], [58.1, -75.0]], ""type"": ""LineString""}",4
1955215N15320,1955,CONNIE,120,"{""coordinates"": [[15.3, -40.0], [15.7, -42.1], [16.1, -44.2], [16.4, -46.0], [16.7, -47.7], [17.0, -49.3], [17.4, -50.9], [17.7, -52.3], [18.0, -54.2], [18.3, -56.1], [18.5, -57.9], [18.7, -59.5], [19.0, -60.9], [19.3, -62.4], [19.6, -63.9], [20.4, -65.2], [21.2, -66.4], [22.0, -67.6], [22.8, -68.8], [23.9, -70.0], [25.0, -71.1], [26.1, -71.8], [27.0, -72.3], [27.9, -72.9], [28.7, -73.4], [29.4, -73.8], [30.0, -74.2], [30.4, -74.8], [30.7, -75.3], [30.9, -75.8], [31.1, -76.4], [31.3, -76.9], [31.6, -77.0], [32.1, -77.0], [32.7, -77.1], [33.2, -77.0], [33.7, -76.9], [34.3, -76.8], [34.7, -76.7], [35.0, -76.6], [36.3, -76.1], [37.7, -76.2], [39.1, -76.6], [40.5, -77.4], [41.9, -79.3], [42.9, -81.3], [43.7, -82.5], [44.5, -83.3], [45.4, -83.0]], ""type"": ""LineString""}",4
1955253N14319,1955,IONE,120,"{""coordinates"": [[13.6, -41.4], [14.0, -43.0], [14.4, -44.6], [14.8, -46.2], [15.1, -47.8], [15.2, -49.3], [14.9, -50.8], [14.6, -52.1], [14.3, -53.4], [14.0, -54.6], [14.0, -55.8], [14.4, -56.9], [14.9, -58.0], [15.5, -58.8], [16.1, -59.3], [16.7, -59.7], [17.3, -60.1], [17.9, -60.6], [18.5, -61.4], [19.3, -62.3], [20.6, -63.3], [21.9, -64.4], [22.8, -65.6], [23.3, -67.0], [23.7, -68.3], [24.1, -69.3], [24.6, -70.2], [25.1, -71.1], [25.7, -71.9], [26.3, -72.5], [27.0, -73.2], [27.9, -74.0], [28.8, -74.7], [29.8, -75.3], [31.2, -75.8], [32.6, -76.1], [33.8, -76.5], [34.7, -76.7], [34.8, -76.7], [35.3, -76.7], [36.0, -76.4], [36.6, -75.7], [37.1, -74.2], [38.0, -72.0], [39.3, -68.3], [41.5, -64.0], [45.0, -59.4], [48.5, -55.0], [50.3, -54.5], [50.7, -54.5], [51.0, -53.8], [52.5, -51.0], [53.4, -46.8], [53.3, -43.7], [53.1, -40.6], [54.6, -35.0], [57.2, -29.3], [60.0, -22.0], [62.5, -15.5], [65.0, -14.0], [67.5, -11.5], [69.0, -9.5], [70.0, -8.0], [70.9, -7.0], [71.6, -7.0], [72.1, -9.0], [72.5, -12.0], [72.8, -14.0], [73.0, -15.0]], ""type"": ""LineString""}",4
1955255N19294,1955,HILDA,105,"{""coordinates"": [[19.2, -66.1], [19.5, -67.0], [19.8, -68.0], [20.0, -68.5], [20.1, -69.1], [20.3, -70.2], [20.5, -71.3], [20.4, -72.5], [20.2, -73.6], [20.2, -74.2], [20.1, -74.8], [20.1, -76.2], [20.1, -77.7], [19.9, -79.2], [19.5, -80.6], [19.3, -81.2], [19.2, -82.1], [19.1, -83.4], [19.1, -84.4], [19.2, -85.4], [19.4, -86.4], [19.6, -87.4], [19.7, -87.7], [19.9, -88.4], [20.2, -89.3], [20.5, -90.2], [20.8, -91.1], [21.0, -92.0], [21.1, -92.8], [21.3, -93.5], [21.5, -94.2], [21.8, -94.9], [22.0, -95.9], [22.1, -97.0], [22.3, -97.9], [22.3, -98.1], [22.2, -98.8], [22.0, -99.1], [21.8, -99.5]], ""type"": ""LineString""}",3
